,행정동_코드,행정동_코드_명,서비스_업종_코드,서비스_업종_코드_명,점포_수,유사_업종_점포_수,프랜차이즈_점포_수,연간_개업_수_합,연간_폐업_수_합,2024_연평균_유동인구,영역_면적,점포_증감률,경쟁도_지수,업종_면적_밀도,점포당_유동인구,전망_등급
0,11110515,청운효자동,CS100001,한식음식점,78,78,0,12,7,3581262.75,2568432,0.0641025641025641,1.0,30.368723018557624,45913.625,보통
1,11110515,청운효자동,CS100002,중식음식점,2,2,0,0,0,3581262.75,2568432,0.0,1.0,0.7786852056040416,1790631.375,전망 좋음
2,11110515,청운효자동,CS100003,일식음식점,16,16,0,3,6,3581262.75,2568432,-0.1875,1.0,6.229481644832333,223828.921875,주의
3,11110515,청운효자동,CS100004,양식음식점,53,53,0,10,6,3581262.75,2568432,0.07547169811320754,1.0,20.635157948507103,67570.99528301887,보통
4,11110515,청운효자동,CS100005,제과점,19,20,1,0,4,3581262.75,2568432,-0.21052631578947367,0.9999999999999999,7.397509453238396,188487.51315789475,주의
5,11110515,청운효자동,CS100006,패스트푸드점,6,7,1,1,0,3581262.75,2568432,0.16666666666666666,1.0,2.336055616812125,596877.125,전망 좋음
6,11110515,청운효자동,CS100007,치킨전문점,2,3,1,0,0,3581262.75,2568432,0.0,1.0,0.7786852056040416,1790631.375,전망 좋음
7,11110515,청운효자동,CS100008,분식전문점,24,25,1,4,4,3581262.75,2568432,0.0,1.0,9.3442224672485,149219.28125,보통
8,11110515,청운효자동,CS100009,호프-간이주점,21,21,0,2,6,3581262.75,2568432,-0.19047619047619047,1.0,8.176194658842437,170536.32142857142,주의
9,11110515,청운효자동,CS100010,커피-음료,116,117,1,17,20,3581262.75,2568432,-0.02586206896551724,1.0,45.163741925034415,30872.95474137931,주의
10,11110530,사직동,CS100001,한식음식점,359,391,32,56,40,3894957.75,1158536,0.04456824512534819,1.0,309.8738407783616,10849.464484679665,보통
11,11110530,사직동,CS100002,중식음식점,31,34,3,3,6,3894957.75,1158536,-0.0967741935483871,0.9999999999999999,26.757908256627328,125643.79838709677,주의
12,11110530,사직동,CS100003,일식음식점,53,60,7,4,5,3894957.75,1158536,-0.018867924528301886,0.9999999999999999,45.747391535524145,73489.76886792453,주의
13,11110530,사직동,CS100004,양식음식점,81,88,7,13,12,3894957.75,1158536,0.012345679012345678,0.9999999999999999,69.91582479957464,48085.898148148146,보통
14,11110530,사직동,CS100005,제과점,34,42,8,2,5,3894957.75,1158536,-0.08823529411764706,1.0,29.347383249204167,114557.58088235294,주의
15,11110530,사직동,CS100006,패스트푸드점,32,44,12,3,1,3894957.75,1158536,0.0625,1.0,27.621066587486276,121717.4296875,보통
16,11110530,사직동,CS100007,치킨전문점,5,13,8,3,2,3894957.75,1158536,0.2,1.0,4.31579165429473,778991.55,전망 좋음
17,11110530,사직동,CS100008,분식전문점,48,59,11,11,8,3894957.75,1158536,0.0625,1.0000000000000002,41.43159988122942,81144.953125,보통
