기준_년분기_코드,행정동_코드_명,서비스_업종_코드,서비스_업종_코드_명,점포_수,유사_업종_점포_수,개업_율,폐업_률,당월_매출_금액,주중_매출_금액,주말_매출_금액,상권_변화_지표_명,운영_영업_개월_평균,폐업_영업_개월_평균,총_유동인구_수,총_상주인구_수,총_가구_수,월_평균_소득_금액,지출_총금액,음식_지출_총금액
20253,둔촌2동,CS100010,커피-음료,47,54,0,7,606791585,414060679,192730906,상권축소,120,52,6677641,24228,10426,3414406,4506159000,1245945000
20253,둔촌2동,CS100009,호프-간이주점,20,25,4,0,351903528,280475769,71427759,상권축소,120,52,6677641,24228,10426,3414406,4506159000,1245945000
20253,둔촌2동,CS100008,분식전문점,18,22,5,9,726132108,681203622,44928486,상권축소,120,52,6677641,24228,10426,3414406,4506159000,1245945000
20253,둔촌2동,CS100007,치킨전문점,5,12,8,0,159714714,122175902,37538812,상권축소,120,52,6677641,24228,10426,3414406,4506159000,1245945000
20253,둔촌2동,CS100006,패스트푸드점,5,7,0,0,1102798762,716447678,386351084,상권축소,120,52,6677641,24228,10426,3414406,4506159000,1245945000
20253,둔촌2동,CS100005,제과점,10,13,0,0,636046418,550961673,85084745,상권축소,120,52,6677641,24228,10426,3414406,4506159000,1245945000
20253,둔촌2동,CS100004,양식음식점,11,12,0,0,456052064,263163006,192889058,상권축소,120,52,6677641,24228,10426,3414406,4506159000,1245945000
20253,둔촌2동,CS100002,중식음식점,4,5,20,0,59004004,43958989,15045015,상권축소,120,52,6677641,24228,10426,3414406,4506159000,1245945000
20253,둔촌2동,CS100001,한식음식점,96,103,2,0,6161678388,4004062715,2157615673,상권축소,120,52,6677641,24228,10426,3414406,4506159000,1245945000
20253,둔촌1동,CS100010,커피-음료,7,13,46,8,452142858,291657224,160485634,상권확장,29,65,30002,16,11,3596734,24319000,3242000
20253,둔촌1동,CS100008,분식전문점,3,5,40,0,242662918,171546023,71116896,상권확장,29,65,30002,16,11,3596734,24319000,3242000
20253,둔촌1동,CS100005,제과점,1,5,20,0,755938723,537590650,218348074,상권확장,29,65,30002,16,11,3596734,24319000,3242000
20253,둔촌1동,CS100001,한식음식점,11,13,46,0,816260890,604741189,211519700,상권확장,29,65,30002,16,11,3596734,24319000,3242000
20253,길동,CS100010,커피-음료,55,85,5,7,3531138563,2602670780,928467783,다이나믹,109,47,18306303,44395,21799,2840603,12816843000,3463572000
20253,길동,CS100009,호프-간이주점,104,115,2,4,4410091024,2743719306,1666371718,다이나믹,109,47,18306303,44395,21799,2840603,12816843000,3463572000
20253,길동,CS100008,분식전문점,39,56,4,7,1340570876,921270229,419300647,다이나믹,109,47,18306303,44395,21799,2840603,12816843000,3463572000
20253,길동,CS100007,치킨전문점,14,32,16,3,784937073,545594631,239342442,다이나믹,109,47,18306303,44395,21799,2840603,12816843000,3463572000
20253,길동,CS100006,패스트푸드점,16,31,3,10,1632328514,1141272083,491056431,다이나믹,109,47,18306303,44395,21799,2840603,12816843000,3463572000
20253,길동,CS100005,제과점,17,24,4,0,1354098378,959691779,394406599,다이나믹,109,47,18306303,44395,21799,2840603,12816843000,3463572000
20253,길동,CS100003,일식음식점,33,37,5,8,616668576,446914935,169753641,다이나믹,109,47,18306303,44395,21799,2840603,12816843000,3463572000
20253,길동,CS100002,중식음식점,23,30,7,3,774150981,550050409,224100572,다이나믹,109,47,18306303,44395,21799,2840603,12816843000,3463572000
20253,길동,CS100001,한식음식점,310,357,4,7,21120009257,14894551719,6225457538,다이나믹,109,47,18306303,44395,21799,2840603,12816843000,3463572000
20253,성내3동,CS100010,커피-음료,70,84,4,4,1436265774,941591872,494673902,상권축소,115,48,6680704,22433,10645,2897346,7999998000,2866954000
20253,성내3동,CS100009,호프-간이주점,55,59,0,2,2044142771,1414063164,630079607,상권축소,115,48,6680704,22433,10645,2897346,7999998000,2866954000
20253,성내3동,CS100008,분식전문점,32,48,2,2,1472718889,969201682,503517207,상권축소,115,48,6680704,22433,10645,2897346,7999998000,2866954000
20253,성내3동,CS100007,치킨전문점,13,37,5,3,393946049,251124796,142821253,상권축소,115,48,6680704,22433,10645,2897346,7999998000,2866954000
20253,성내3동,CS100006,패스트푸드점,11,25,0,4,918535019,605689268,312845751,상권축소,115,48,6680704,22433,10645,2897346,7999998000,2866954000
20253,성내3동,CS100005,제과점,29,34,3,3,2392227129,1606280242,785946887,상권축소,115,48,6680704,22433,10645,2897346,7999998000,2866954000
20253,성내3동,CS100004,양식음식점,24,26,4,0,212374215,130843025,81531190,상권축소,115,48,6680704,22433,10645,2897346,7999998000,2866954000
20253,성내3동,CS100003,일식음식점,19,21,0,5,766747578,515933414,250814164,상권축소,115,48,6680704,22433,10645,2897346,7999998000,2866954000
20253,성내3동,CS100002,중식음식점,12,13,0,15,202323895,127914903,74408992,상권축소,115,48,6680704,22433,10645,2897346,7999998000,2866954000
